,Apache.csv,CM12.csv,CM13.csv,EQ.csv,JDT.csv,JM12.csv,JM13.csv,KC32.csv,KC33.csv,LC.csv,MC12.csv,MC13.csv,MC22.csv,MC23.csv,ML.csv,MW12.csv,MW13.csv,PDE.csv,Safe.csv,Zxing.csv,ant-1.3.csv,ant-1.4.csv,ant-1.5.csv,ant-1.6.csv,ant-1.7.csv,camel-1.0.csv,camel-1.2.csv,camel-1.4.csv,camel-1.6.csv,cm1.csv,ivy-1.1.csv,ivy-1.4.csv,ivy-2.0.csv,jedit-3.2.csv,jedit-4.0.csv,jedit-4.1.csv,jedit-4.2.csv,jedit-4.3.csv,jm1.csv,kc3.csv,log4j-1.0.csv,log4j-1.1.csv,log4j-1.2.csv,lucene-2.0.csv,lucene-2.2.csv,lucene-2.4.csv,mc1.csv,mc2.csv,mw1.csv,poi-1.5.csv,poi-2.0.csv,poi-2.5.csv,poi-3.0.csv,velocity-1.4.csv,velocity-1.5.csv,velocity-1.6.csv,xalan-2.4.csv,xalan-2.5.csv,xalan-2.6.csv,xalan-2.7.csv,xerces-1.0.csv,xerces-1.2.csv,xerces-1.3.csv,xerces-1.4.csv
camel-1.0.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camel-1.2.csv,0.0,0.0,0.0,0.0,0.0,0.0733844468784228,0.008244994110718492,0.0,0.0,0.0,0.17748917748917747,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.020942408376963352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.008244994110718492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.002224694104560623,0.0,0.0,0.0,0.022624434389140267
camel-1.4.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camel-1.6.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cm1.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ivy-1.1.csv,0.6666666666666666,0.2181818181818182,0.2282608695652174,0.5663716814159292,0.3410981697171381,0.309752444718527,0.35371271419504974,0.3063829787234043,0.314410480349345,0.16710875331564987,0.014553237025147138,0.0454320987654321,0.5238095238095238,0.5238095238095238,0.2317188983855651,0.18556701030927836,0.19354838709677416,0.24398826979472144,0.5714285714285715,0.45348837209302323,0.27777777777777773,0.3686635944700461,0.19692307692307692,0.4117647058823529,0.3626373626373626,0.07428571428571427,0.5242718446601942,0.28515240904621436,0.3246527777777778,0.2282608695652174,,0.1245136186770428,0.20618556701030927,0.49307479224376727,0.3893333333333333,0.39999999999999997,0.2270531400966184,0.04373757455268389,0.35371271419504974,0.314410480349345,0.40476190476190477,0.5103448275862069,0.9567430025445292,0.631578947368421,0.7365728900255754,0.7453874538745386,0.0454320987654321,0.5238095238095238,0.19354838709677416,0.7460317460317459,0.2108262108262108,0.7835703001579779,0.7773167358229599,0.8571428571428571,0.797752808988764,0.5148514851485149,0.2620192307692308,0.6504201680672269,0.6342592592592593,0.9849246231155778,0.6443514644351465,0.2778864970645793,0.26953125,0.8526829268292683
ivy-1.4.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ivy-2.0.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jedit-3.2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jedit-4.0.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
